lon_bin,lon_freq,lon_cfreq,lon_%tot,Category,lat_bin,lat_freq,lat_cfreq,lat_%tot,Category_lat
44.1,6,1186,6.035316269,Random,-17.7,32,1876,9.54658796,Random
44.2,5,1191,6.060760267,Random,-17.6,41,1917,9.755228742,Random
44.3,9,1200,6.106559463,Random,-17.5,50,1967,10.00966872,Random
44.4,8,1208,6.147269859,Random,-17.4,53,2020,10.2793751,Random
44.5,7,1215,6.182891456,Random,-17.3,49,2069,10.52872627,Random
44.6,6,1221,6.213424253,Random,-17.2,38,2107,10.72210066,Random
44.7,2,1223,6.223601852,Random,-17.1,34,2141,10.89511984,Random
44.8,4,1227,6.243957051,Random,-17,49,2190,11.14447102,Random
44.9,2,1229,6.25413465,Random,-16.9,37,2227,11.3327566,Random
45,7,1236,6.289756247,Random,-16.8,34,2261,11.50577579,Random
45.1,10,1246,6.340644242,Random,-16.7,41,2302,11.71441657,Random
45.2,18,1264,6.432242634,Random,-16.6,69,2371,12.06554374,Random
45.3,7,1271,6.467864231,Random,-16.5,42,2413,12.27927332,Random
45.4,2,1273,6.47804183,Random,-16.4,37,2450,12.4675589,Random
45.5,3,1276,6.493308229,Random,-16.3,44,2494,12.69146608,Random
45.6,2,1278,6.503485828,Random,-16.2,34,2528,12.86448527,Random
45.7,3,1281,6.518752226,Random,-16.1,31,2559,13.02223805,Random
45.8,2,1283,6.528929825,Random,-16,24,2583,13.14436924,Random
45.9,2,1285,6.539107425,Random,-15.9,33,2616,13.31229963,Random
46,3,1288,6.554373823,Random,-15.8,28,2644,13.45478602,Random
46.1,6,1294,6.584906621,Random,-15.7,34,2678,13.6278052,Random
46.2,5,1299,6.610350618,Random,-15.6,31,2709,13.78555799,Random
46.3,6,1305,6.640883416,Random,-15.5,28,2737,13.92804437,Random
46.4,6,1311,6.671416213,Random,-15.4,31,2768,14.08579716,Random
46.5,8,1319,6.712126609,Random,-15.3,23,2791,14.20283955,Random
46.6,7,1326,6.747748206,Random,-15.2,18,2809,14.29443794,Random
46.7,2,1328,6.757925805,Random,-15.1,22,2831,14.40639153,Random
46.8,2,1330,6.768103404,Random,-15,44,2875,14.63029871,Random
46.9,2,1332,6.778281004,Random,-14.9,21,2896,14.7371635,Random
47,6,1338,6.808813801,Random,-14.8,23,2919,14.85420589,Random
47.1,6,1344,6.839346598,Random,-14.7,20,2939,14.95598188,Random
47.2,3,1347,6.854612997,Random,-14.6,15,2954,15.03231388,Random
47.3,4,1351,6.874968195,Random,-14.5,18,2972,15.12391227,Random
47.4,5,1356,6.900412193,Random,-14.4,23,2995,15.24095466,Random
47.5,5,1361,6.925856191,Random,-14.3,23,3018,15.35799705,Random
47.6,7,1368,6.961477787,Random,-14.2,37,3055,15.54628263,Random
47.7,9,1377,7.007276983,Random,-14.1,32,3087,15.70912422,Random
47.8,13,1390,7.073431378,Random,-14,28,3115,15.85161061,Random
47.9,19,1409,7.170118569,Random,-13.9,37,3152,16.03989619,Random
48,8,1417,7.210828965,Random,-13.8,40,3192,16.24344817,Random
48.1,4,1421,7.231184164,Random,-13.7,59,3251,16.54368734,Random
48.2,8,1429,7.27189456,Random,-13.6,28,3279,16.68617373,Random
48.3,6,1435,7.302427357,Random,-13.5,25,3304,16.81339372,Random
48.4,6,1441,7.332960155,Random,-13.4,22,3326,16.92534731,Random
48.5,5,1446,7.358404152,Random,-13.3,16,3342,17.0067681,Random
48.6,9,1455,7.404203348,Random,-13.2,18,3360,17.0983665,Random
48.7,10,1465,7.455091344,Random,-13.1,13,3373,17.16452089,Random
48.8,12,1477,7.516156939,Random,-13,21,3394,17.27138568,Random
48.9,9,1486,7.561956135,Random,-12.9,24,3418,17.39351687,Random
49,9,1495,7.607755331,Random,-12.8,22,3440,17.50547046,Random
49.1,4,1499,7.628110529,Random,-12.7,27,3467,17.64286805,Random
49.2,5,1504,7.653554526,Random,-12.6,22,3489,17.75482164,Random
49.3,4,1508,7.673909725,Random,-12.5,29,3518,17.90239682,Random
49.4,7,1515,7.709531322,Random,-12.4,82,3600,18.31967839,Random
49.5,12,1527,7.770596916,Random,-12.3,43,3643,18.53849677,Random
49.6,23,1550,7.887639306,Random,-12.2,43,3686,18.75731515,Random
49.7,9,1559,7.933438502,Random,-12.1,32,3718,18.92015674,Random
49.8,11,1570,7.989415297,Random,-12,31,3749,19.07790952,Random
49.9,15,1585,8.06574729,Random,-11.9,34,3783,19.25092871,Random
50,10,1595,8.116635286,Random,-11.8,44,3827,19.47483589,Random
50.1,8,1603,8.157345682,Random,-11.7,58,3885,19.76998626,Random
50.2,2,1605,8.167523281,Random,-11.6,68,3953,20.11602463,Random
50.3,8,1613,8.208233678,Random,-11.5,73,4026,20.487507,Random
50.4,15,1628,8.284565671,Random,-11.4,66,4092,20.82336777,Random
50.5,24,1652,8.40669686,Random,-11.3,63,4155,21.14396214,Random
50.6,7,1659,8.442318457,Random,-11.2,127,4282,21.79023968,Random
50.7,6,1665,8.472851254,Random,-11.1,50,4332,22.04467966,Random
50.8,11,1676,8.528828049,Random,-11,43,4375,22.26349804,Random
50.9,8,1684,8.569538446,Random,-10.9,37,4412,22.45178362,Random
51,11,1695,8.625515241,Random,-10.8,67,4479,22.79273319,Random
51.1,12,1707,8.686580836,Random,-10.7,66,4545,23.12859396,Random
51.2,7,1714,8.722202432,Random,-10.6,75,4620,23.51025393,Random
51.3,6,1720,8.75273523,Random,-10.5,60,4680,23.8155819,Random
51.4,7,1727,8.788356827,Random,-10.4,51,4731,24.07511068,Random
51.5,4,1731,8.808712025,Random,-10.3,73,4804,24.44659305,Random
51.6,7,1738,8.844333622,Random,-10.2,77,4881,24.83843061,Random
51.7,5,1743,8.869777619,Random,-10.1,69,4950,25.18955778,Random
51.8,5,1748,8.895221617,Random,-10,124,5074,25.82056893,Random
51.9,5,1753,8.920665615,Random,-9.9,51,5125,26.0800977,Random
52,8,1761,8.961376011,Random,-9.8,43,5168,26.29891609,Random
52.1,5,1766,8.986820009,Random,-9.7,62,5230,26.61442166,Random
52.2,2,1768,8.996997608,Random,-9.6,59,5289,26.91466083,Random
52.3,2,1770,9.007175207,Random,-9.5,64,5353,27.240344,Random
52.4,1,1771,9.012264007,Random,-9.4,70,5423,27.59655997,Random
52.5,0,1771,9.012264007,Random,-9.3,72,5495,27.96295354,Random
52.6,1,1772,9.017352806,Random,-9.2,64,5559,28.28863671,Random
52.7,1,1773,9.022441606,Random,-9.1,55,5614,28.56852069,Random
52.8,3,1776,9.037708005,Random,-9,53,5667,28.83822706,Random
52.9,1,1777,9.042796804,Random,-8.9,119,5786,29.44379421,Random
53,3,1780,9.058063203,Random,-8.8,85,5871,29.87634217,Random
53.1,6,1786,9.088596,Random,-8.7,78,5949,30.27326854,Random
53.2,10,1796,9.139483996,Random,-8.6,80,6029,30.6803725,Random
53.3,9,1805,9.185283192,Random,-8.5,109,6138,31.23505165,Random
53.4,7,1812,9.220904789,Random,-8.4,134,6272,31.91695079,Random
53.5,3,1815,9.236171187,Random,-8.3,129,6401,32.57340593,Random
53.6,4,1819,9.256526385,Random,-8.2,99,6500,33.07719709,Random
53.7,4,1823,9.276881584,Random,-8.1,85,6585,33.50974505,Random
53.8,3,1826,9.292147982,Random,-8,63,6648,33.83033942,Random
53.9,1,1827,9.297236782,Random,-7.9,82,6730,34.24762099,Random
54,2,1829,9.307414381,Random,-7.8,43,6773,34.46643937,Random
54.1,1,1830,9.31250318,Random,-7.7,48,6821,34.71070175,Random
54.2,1,1831,9.31759198,Random,-7.6,47,6868,34.94987532,Random
54.3,1,1832,9.32268078,Random,-7.5,48,6916,35.1941377,Random
54.4,0,1832,9.32268078,Random,-7.4,46,6962,35.42822248,Random
54.5,3,1835,9.337947178,Random,-7.3,49,7011,35.67757366,Random
54.6,4,1839,9.358302376,Random,-7.2,60,7071,35.98290163,Random
54.7,1,1840,9.363391176,Random,-7.1,64,7135,36.3085848,Random
54.8,4,1844,9.383746374,Random,-7,71,7206,36.66988957,Random
54.9,4,1848,9.404101572,Random,-6.9,65,7271,37.00066154,Random
55,3,1851,9.419367971,Random,-6.8,128,7399,37.65202789,Random
55.1,2,1853,9.42954557,Random,-6.7,52,7451,37.91664546,Random
55.2,7,1860,9.465167167,Random,-6.6,60,7511,38.22197344,Random
55.3,16,1876,9.54658796,Random,-6.5,45,7556,38.45096942,Random
55.4,11,1887,9.602564755,Random,-6.4,32,7588,38.613811,Random
55.5,9,1896,9.648363951,Random,-6.3,29,7617,38.76138619,Random
55.6,6,1902,9.678896748,Random,-6.2,37,7654,38.94967177,Random
55.7,7,1909,9.714518345,Random,-6.1,48,7702,39.19393415,Random
55.8,11,1920,9.77049514,Random,-6,57,7759,39.48399573,Random
55.9,7,1927,9.806116737,Random,-5.9,68,7827,39.83003409,Random
56,8,1935,9.846827133,Random,-5.8,159,7986,40.63915322,Random
56.1,4,1939,9.867182332,Random,-5.7,76,8062,41.02590199,Random
56.2,4,1943,9.88753753,Random,-5.6,66,8128,41.36176276,Random
56.3,6,1949,9.918070327,Random,-5.5,98,8226,41.86046512,Random
56.4,8,1957,9.958780724,Random,-5.4,113,8339,42.43549947,Random
56.5,4,1961,9.979135922,Random,-5.3,94,8433,42.91384662,Random
56.6,4,1965,9.99949112,Random,-5.2,67,8500,43.25479619,Random
56.7,5,1970,10.02493512,Random,-5.1,54,8554,43.52959137,Random
56.8,0,1970,10.02493512,Random,-5,60,8614,43.83491934,Random
56.9,0,1970,10.02493512,Random,-4.9,57,8671,44.12498092,Random
57,0,1970,10.02493512,Random,-4.8,135,8806,44.81196886,Random
57.1,0,1970,10.02493512,Random,-4.7,59,8865,45.11220803,Random
57.2,0,1970,10.02493512,Random,-4.6,47,8912,45.35138161,Random
57.3,0,1970,10.02493512,Random,-4.5,45,8957,45.58037759,Random
57.4,3,1973,10.04020152,Random,-4.4,35,8992,45.75848557,Random
57.5,5,1978,10.06564551,Random,-4.3,35,9027,45.93659356,Random
57.6,6,1984,10.09617831,Random,-4.2,28,9055,46.07907995,Random
57.7,6,1990,10.12671111,Random,-4.1,37,9092,46.26736553,Random
57.8,9,1999,10.1725103,Random,-4,44,9136,46.49127271,Random
57.9,6,2005,10.2030431,Random,-3.9,43,9179,46.71009109,Random
58,6,2011,10.2335759,Random,-3.8,75,9254,47.09175106,Random
58.1,3,2014,10.2488423,Random,-3.7,40,9294,47.29530304,Random
58.2,4,2018,10.2691975,Random,-3.6,37,9331,47.48358862,Random
58.3,3,2021,10.28446389,Random,-3.5,42,9373,47.6973182,Random
58.4,1,2022,10.28955269,Random,-3.4,48,9421,47.94158058,Random
58.5,6,2028,10.32008549,Random,-3.3,51,9472,48.20110936,Random
58.6,3,2031,10.33535189,Random,-3.2,61,9533,48.51152613,Random
58.7,6,2037,10.36588469,Random,-3.1,66,9599,48.8473869,Random
58.8,7,2044,10.40150628,Random,-3,63,9662,49.16798127,Random
58.9,4,2048,10.42186148,Random,-2.9,123,9785,49.79390362,Random
59,4,2052,10.44221668,Random,-2.8,50,9835,50.0483436,Random
59.1,0,2052,10.44221668,Random,-2.7,45,9880,50.27733958,Random
59.2,0,2052,10.44221668,Random,-2.6,56,9936,50.56231235,Random
59.3,0,2052,10.44221668,Random,-2.5,46,9982,50.79639713,Random
59.4,1,2053,10.44730548,Random,-2.4,51,10033,51.05592591,Random
59.5,5,2058,10.47274948,Random,-2.3,51,10084,51.31545468,Random
59.6,6,2064,10.50328228,Random,-2.2,58,10142,51.61060506,Random
59.7,8,2072,10.54399267,Random,-2.1,64,10206,51.93628823,Random
59.8,3,2075,10.55925907,Random,-2,66,10272,52.272149,Random
59.9,0,2075,10.55925907,Random,-1.9,168,10440,53.12706732,Random
60,0,2075,10.55925907,Random,-1.8,75,10515,53.50872729,Random
60.1,2,2077,10.56943667,Random,-1.7,85,10600,53.94127525,Random
60.2,2,2079,10.57961427,Random,-1.6,77,10677,54.33311282,Random
60.3,1,2080,10.58470307,Random,-1.5,63,10740,54.65370719,Random
60.4,0,2080,10.58470307,Random,-1.4,60,10800,54.95903516,Random
60.5,2,2082,10.59488067,Random,-1.3,60,10860,55.26436314,Random
60.6,2,2084,10.60505827,Random,-1.2,56,10916,55.54933591,Random
60.7,0,2084,10.60505827,Random,-1.1,63,10979,55.86993028,Random
60.8,0,2084,10.60505827,Random,-1,79,11058,56.27194545,Random
60.9,0,2084,10.60505827,Random,-0.9,58,11116,56.56709582,Random
61,0,2084,10.60505827,Random,-0.8,63,11179,56.88769019,Random
61.1,0,2084,10.60505827,Random,-0.7,61,11240,57.19810697,Random
61.2,0,2084,10.60505827,Random,-0.6,59,11299,57.49834614,Random
61.3,0,2084,10.60505827,Random,-0.5,48,11347,57.74260852,Random
61.4,0,2084,10.60505827,Random,-0.4,55,11402,58.02249249,Random
61.5,0,2084,10.60505827,Random,-0.3,51,11453,58.28202127,Random
61.6,0,2084,10.60505827,Random,-0.2,41,11494,58.49066205,Random
61.7,0,2084,10.60505827,Random,-0.1,41,11535,58.69930283,Random
61.8,0,2084,10.60505827,Random,2.98E-13,77,11612,59.0911404,Random
61.9,0,2084,10.60505827,Random,0.1,41,11653,59.29978118,Random
62,0,2084,10.60505827,Random,0.2,41,11694,59.50842196,Random
62.1,0,2084,10.60505827,Random,0.3,44,11738,59.73232914,Random
62.2,0,2084,10.60505827,Random,0.4,68,11806,60.07836751,Random
62.3,0,2084,10.60505827,Random,0.5,61,11867,60.38878429,Random
62.4,0,2084,10.60505827,Random,0.6,54,11921,60.66357946,Random
62.5,0,2084,10.60505827,Random,0.7,35,11956,60.84168745,Random
62.6,0,2084,10.60505827,Random,0.8,40,11996,61.04523943,Random
62.7,0,2084,10.60505827,Random,0.9,128,12124,61.69660577,Random
62.8,0,2084,10.60505827,Random,1,59,12183,61.99684494,Random
62.9,0,2084,10.60505827,Random,1.1,57,12240,62.28690652,Random
63,0,2084,10.60505827,Random,1.2,38,12278,62.4802809,Random
63.1,0,2084,10.60505827,Random,1.3,31,12309,62.63803369,Random
63.2,0,2084,10.60505827,Random,1.4,34,12343,62.81105287,Random
63.3,1,2085,10.61014707,Random,1.5,30,12373,62.96371686,Random
63.4,3,2088,10.62541346,Random,1.6,36,12409,63.14691364,Random
63.5,3,2091,10.64067986,Random,1.7,27,12436,63.28431123,Random
63.6,2,2093,10.65085746,Random,1.8,26,12462,63.41662002,Random
63.7,0,2093,10.65085746,Random,1.9,57,12519,63.70668159,Random
63.8,0,2093,10.65085746,Random,2,30,12549,63.85934558,Random
63.9,0,2093,10.65085746,Random,2.1,35,12584,64.03745356,Random
64,0,2093,10.65085746,Random,2.2,38,12622,64.23082795,Random
64.1,0,2093,10.65085746,Random,2.3,36,12658,64.41402473,Random
64.2,0,2093,10.65085746,Random,2.4,36,12694,64.59722152,Random
64.3,0,2093,10.65085746,Random,2.5,31,12725,64.7549743,Random
64.4,0,2093,10.65085746,Random,2.6,26,12751,64.88728309,Random
64.5,0,2093,10.65085746,Random,2.7,21,12772,64.99414788,Random
64.6,0,2093,10.65085746,Random,2.8,59,12831,65.29438705,Random
64.7,0,2093,10.65085746,Random,2.9,30,12861,65.44705104,Random
64.8,0,2093,10.65085746,Random,3,27,12888,65.58444863,Random
64.9,0,2093,10.65085746,Random,3.1,23,12911,65.70149102,Random
65,0,2093,10.65085746,Random,3.2,19,12930,65.79817821,Random
65.1,0,2093,10.65085746,Random,3.3,21,12951,65.905043,Random
65.2,0,2093,10.65085746,Random,3.4,23,12974,66.02208539,Random
65.3,0,2093,10.65085746,Random,3.5,26,13000,66.15439418,Random
65.4,0,2093,10.65085746,Random,3.6,22,13022,66.26634777,Random
65.5,0,2093,10.65085746,Random,3.7,21,13043,66.37321256,Random
65.6,0,2093,10.65085746,Random,3.8,35,13078,66.55132054,Random
65.7,0,2093,10.65085746,Random,3.9,20,13098,66.65309653,Random
65.8,0,2093,10.65085746,Random,4,14,13112,66.72433973,Random
65.9,0,2093,10.65085746,Random,4.1,20,13132,66.82611572,Random
66,0,2093,10.65085746,Random,4.2,23,13155,66.94315811,Random
66.1,0,2093,10.65085746,Random,4.3,28,13183,67.0856445,Random
66.2,0,2093,10.65085746,Random,4.4,22,13205,67.19759809,Random
66.3,0,2093,10.65085746,Random,4.5,20,13225,67.29937408,Random
66.4,0,2093,10.65085746,Random,4.6,20,13245,67.40115007,Random
66.5,0,2093,10.65085746,Random,4.7,62,13307,67.71665564,Random
66.6,0,2093,10.65085746,Random,4.8,25,13332,67.84387563,Random
66.7,0,2093,10.65085746,Random,4.9,21,13353,67.95074042,Random
66.8,0,2093,10.65085746,Random,5,26,13379,68.08304921,Random
66.9,0,2093,10.65085746,Random,5.1,20,13399,68.1848252,Random
67,0,2093,10.65085746,Random,5.2,24,13423,68.30695639,Random
67.1,0,2093,10.65085746,Random,5.3,31,13454,68.46470918,Random
67.2,0,2093,10.65085746,Random,5.4,28,13482,68.60719556,Random
67.3,0,2093,10.65085746,Random,5.5,25,13507,68.73441555,Random
67.4,0,2093,10.65085746,Random,5.6,27,13534,68.87181314,Random
67.5,0,2093,10.65085746,Random,5.7,59,13593,69.17205231,Random
67.6,0,2093,10.65085746,Random,5.8,38,13631,69.3654267,Random
67.7,0,2093,10.65085746,Random,5.9,45,13676,69.59442268,Random
67.8,0,2093,10.65085746,Random,6,46,13722,69.82850746,Random
67.9,0,2093,10.65085746,Random,6.1,46,13768,70.06259223,Random
68,0,2093,10.65085746,Random,6.2,43,13811,70.28141062,Random
68.1,0,2093,10.65085746,Random,6.3,42,13853,70.4951402,Random
68.2,0,2093,10.65085746,Random,6.4,25,13878,70.62236019,Random
68.3,0,2093,10.65085746,Random,6.5,28,13906,70.76484657,Random
68.4,0,2093,10.65085746,Random,6.6,36,13942,70.94804336,Random
68.5,0,2093,10.65085746,Random,6.7,81,14023,71.36023612,Random
68.6,0,2093,10.65085746,Random,6.8,42,14065,71.5739657,Random
68.7,0,2093,10.65085746,Random,6.9,52,14117,71.83858328,Random
68.8,0,2093,10.65085746,Random,7,59,14176,72.13882245,Random
68.9,0,2093,10.65085746,Random,7.1,61,14237,72.44923922,Random
69,1,2094,10.65594626,Random,7.2,45,14282,72.6782352,Random
69.1,8,2102,10.69665666,Random,7.3,55,14337,72.95811918,Random
69.2,4,2106,10.71701186,Random,7.4,65,14402,73.28889115,Random
69.3,5,2111,10.74245585,Random,7.5,59,14461,73.58913032,Random
69.4,5,2116,10.76789985,Random,7.6,57,14518,73.8791919,Random
69.5,3,2119,10.78316625,Random,7.7,51,14569,74.13872068,Random
69.6,2,2121,10.79334385,Random,7.8,94,14663,74.61706783,Random
69.7,2,2123,10.80352145,Random,7.9,39,14702,74.81553102,Random
69.8,1,2124,10.80861025,Random,8,43,14745,75.0343494,Random
69.9,1,2125,10.81369905,Random,8.1,56,14801,75.31932217,Random
70,1,2126,10.81878785,Random,8.2,70,14871,75.67553814,Random
70.1,4,2130,10.83914305,Random,8.3,40,14911,75.87909012,Random
70.2,3,2133,10.85440944,Random,8.4,46,14957,76.1131749,Random
70.3,2,2135,10.86458704,Random,8.5,51,15008,76.37270368,Random
70.4,1,2136,10.86967584,Random,8.6,63,15071,76.69329805,Random
70.5,0,2136,10.86967584,Random,8.7,62,15133,77.00880362,Random
70.6,0,2136,10.86967584,Random,8.8,111,15244,77.57366037,Random
70.7,0,2136,10.86967584,Random,8.9,44,15288,77.79756755,Random
70.8,2,2138,10.87985344,Random,9,36,15324,77.98076434,Random
70.9,1,2139,10.88494224,Random,9.1,52,15376,78.24538191,Random
71,2,2141,10.89511984,Random,9.2,55,15431,78.52526589,Random
71.1,3,2144,10.91038624,Random,9.3,59,15490,78.82550506,Random
71.2,4,2148,10.93074144,Random,9.4,48,15538,79.06976744,Random
71.3,8,2156,10.97145183,Random,9.5,44,15582,79.29367462,Random
71.4,13,2169,11.03760623,Random,9.6,45,15627,79.5226706,Random
71.5,13,2182,11.10376062,Random,9.7,52,15679,79.78728818,Random
71.6,14,2196,11.17500382,Random,9.8,47,15726,80.02646176,Random
71.7,23,2219,11.29204621,Random,9.9,118,15844,80.6269401,Random
71.8,13,2232,11.3582006,Random,10,63,15907,80.94753448,Random
71.9,13,2245,11.42435499,Random,10.1,55,15962,81.22741845,Random
72,17,2262,11.51086459,Random,10.2,49,16011,81.47676963,Random
72.1,13,2275,11.57701898,Random,10.3,53,16064,81.74647601,Random
72.2,14,2289,11.64826217,Random,10.4,49,16113,81.99582718,Random
72.3,22,2311,11.76021577,Random,10.5,52,16165,82.26044476,Random
72.4,25,2336,11.88743575,Random,10.6,56,16221,82.54541754,Random
72.5,20,2356,11.98921174,Random,10.7,59,16280,82.84565671,Random
72.6,38,2394,12.18258613,Random,10.8,53,16333,83.11536309,Random
72.7,28,2422,12.32507252,Random,10.9,62,16395,83.43086866,Random
72.8,32,2454,12.4879141,Random,11,57,16452,83.72093023,Random
72.9,46,2500,12.72199888,Random,11.1,137,16589,84.41809577,Random
73,53,2553,12.99170526,Random,11.2,78,16667,84.81502214,Random
73.1,46,2599,13.22579004,Random,11.3,67,16734,85.15597171,Random
73.2,32,2631,13.38863162,Random,11.4,72,16806,85.52236527,Random
73.3,33,2664,13.55656201,Random,11.5,80,16886,85.92946924,Random
73.4,39,2703,13.75502519,Random,11.6,72,16958,86.29586281,Random
73.5,87,2790,14.19775075,Random,11.7,53,17011,86.56556918,Random
73.6,27,2817,14.33514834,Random,11.8,54,17065,86.84036436,Random
73.7,13,2830,14.40130273,Random,11.9,61,17126,87.15078113,Random
73.8,4,2834,14.42165793,Random,12,56,17182,87.43575391,Random
73.9,0,2834,14.42165793,Random,12.1,53,17235,87.70546028,Random
74,0,2834,14.42165793,Random,12.2,43,17278,87.92427866,Random
74.1,1,2835,14.42674673,Random,12.3,99,17377,88.42806982,Random
74.2,0,2835,14.42674673,Random,12.4,44,17421,88.651977,Random
74.3,0,2835,14.42674673,Random,12.5,50,17471,88.90641698,Random
74.4,1,2836,14.43183553,Random,12.6,48,17519,89.15067935,Random
74.5,2,2838,14.44201313,Random,12.7,42,17561,89.36440894,Random
74.6,0,2838,14.44201313,Random,12.8,30,17591,89.51707292,Random
74.7,0,2838,14.44201313,Random,12.9,30,17621,89.66973691,Random
74.8,0,2838,14.44201313,Random,13,27,17648,89.8071345,Random
74.9,0,2838,14.44201313,Random,13.1,29,17677,89.95470968,Random
75,0,2838,14.44201313,Random,13.2,30,17707,90.10737367,Random
75.1,0,2838,14.44201313,Random,13.3,37,17744,90.29565925,Random
75.2,0,2838,14.44201313,Random,13.4,24,17768,90.41779044,Random
75.3,2,2840,14.45219073,Random,13.5,60,17828,90.72311842,Random
75.4,2,2842,14.46236833,Random,13.6,36,17864,90.9063152,Random
75.5,3,2845,14.47763473,Random,13.7,29,17893,91.05389039,Random
75.6,2,2847,14.48781233,Random,13.8,27,17920,91.19128798,Random
75.7,2,2849,14.49798992,Random,13.9,34,17954,91.36430716,Random
75.8,3,2852,14.51325632,Random,14,29,17983,91.51188235,Random
75.9,1,2853,14.51834512,Random,14.1,24,18007,91.63401354,Random
76,0,2853,14.51834512,Random,14.2,22,18029,91.74596713,Random
76.1,0,2853,14.51834512,Random,14.3,23,18052,91.86300952,Random
76.2,0,2853,14.51834512,Random,14.4,17,18069,91.94951911,Random
76.3,3,2856,14.53361152,Random,14.5,14,18083,92.0207623,Random
76.4,1,2857,14.53870032,Random,14.6,13,18096,92.0869167,Random
76.5,1,2858,14.54378912,Random,14.7,11,18107,92.14289349,Random
76.6,3,2861,14.55905552,Random,14.8,17,18124,92.22940308,Random
76.7,2,2863,14.56923312,Random,14.9,41,18165,92.43804387,Random
76.8,2,2865,14.57941072,Random,15,20,18185,92.53981986,Random
76.9,2,2867,14.58958832,Random,15.1,20,18205,92.64159585,Random
77,4,2871,14.60994351,Random,15.2,20,18225,92.74337184,Random
77.1,0,2871,14.60994351,Random,15.3,20,18245,92.84514783,Random
77.2,2,2873,14.62012111,Random,15.4,19,18264,92.94183502,Random
77.3,2,2875,14.63029871,Random,15.5,22,18286,93.05378861,Random
77.4,2,2877,14.64047631,Random,15.6,27,18313,93.1911862,Random
